Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Account enabled (true/false) [accountEnabled],First name [givenName],Last name [surname],Job title [jobTitle],Department [department]
Hange Zoe,HZoe@nicksmtoneyoutlook.onmicrosoft.com,Titan78#Dawn,TRUE,Hange,Zoe,14th Commander,Scout Regiment
Jean Kirstein,JKirstein@nicksmtoneyoutlook.onmicrosoft.com,Dawn89%Free,TRUE,Jean,Kirstein,Squad Leader,Scout Regiment
Connie Springer,CSpringer@nicksmtoneyoutlook.onmicrosoft.com,Wall12*Storm,TRUE,Connie,Springer,Scout,Scout Regiment
Sasha Blouse,SBlouse@nicksmtoneyoutlook.onmicrosoft.com,Maria78%Maria,TRUE,Sasha,Blouse,Scout,Scout Regiment
Historia Reiss,HReiss@nicksmtoneyoutlook.onmicrosoft.com,Titan45!Brave,TRUE,Historia,Reiss,Queen,Royal Government
Reiner Braun,RBraun@nicksmtoneyoutlook.onmicrosoft.com,Free24&Scout,TRUE,Reiner,Braun,Warrior,Marley Warriors
Bertholdt Hoover,BHoover@nicksmtoneyoutlook.onmicrosoft.com,Brave91@Light,TRUE,Bertholdt,Hoover,Warrior,Marley Warriors
Annie Leonhart,ALeonhart@nicksmtoneyoutlook.onmicrosoft.com,Rose78@Rose,TRUE,Annie,Leonhart,Warrior,Marley Warriors
Zeke Yeager,ZYeager@nicksmtoneyoutlook.onmicrosoft.com,Wings67!Scout,TRUE,Zeke,Yeager,War Chief,Marley Warriors
Pieck Finger,PFinger@nicksmtoneyoutlook.onmicrosoft.com,Light12$Hope,TRUE,Pieck,Finger,Warrior,Marley Warriors
Gabi Braun,GBraun@nicksmtoneyoutlook.onmicrosoft.com,Sina78*Light,TRUE,Gabi,Braun,Warrior Candidate,Marley Warriors
Falco Grice,FGrice@nicksmtoneyoutlook.onmicrosoft.com,Light12%Sina,TRUE,Falco,Grice,Warrior Candidate,Marley Warriors
Ymir,Ymir@nicksmtoneyoutlook.onmicrosoft.com,Sina67$Brave,TRUE,Ymir,,Scout,Scout Regiment
Floch Forster,FForster@nicksmtoneyoutlook.onmicrosoft.com,Rose56#Dawn,TRUE,Floch,Forster,Squad Leader,Yeagerists
Kenny Ackerman,KAckerman@nicksmtoneyoutlook.onmicrosoft.com,Hope24&Free,TRUE,Kenny,Ackerman,Captain,Military Police
